Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
CASP8,1146.88,919.57,1128.92,1010.73,969.5,1358.88,646.34,580.39,714.51,561.51,814.73,1353.09,652.51,782.5,1097.74,1096.63,361.99,470.49,814.21,420.64,512.46,323.52,270.06,444.19,508.34,663.73,738.54,430.26,479.02,539.99,639.44,445.3,428.03,376.9,445.46,438.82,637.92,688.52,1026.61,790.98,778.39,596.22,441.12,436.8,687.77,652.09,1010.23,804.29,609.68,598.74,529.27,403.31
CCBP2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.21,39.6,20,20,20,35.41,20,49.35,20,20,20,20,20,20,20,20,20,20,35.45,20,20,20,20,20,20,25.55,48.25,20,20,20,20,20,22,59.56,47.85,20
CCL1,20,20,20,22.76,20,20,20,20,20,20,20,20,20,21.96,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.08,20,20,20,24.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL13,20,20,20,22.76,20,20,20,20,23.57,29.61,20,20,20,20,20,25.24,20,20,38.44,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL16,20,20,20,20,20,20,20,20,20,20,22.98,20,20,20,20,20,20,20,20,20,20,20,20,37.74,20,20,20,20,20,20,20,20,20,20,20,20,20,25.88,20,20,20,20,20,20,20,20,20,20,20,20,36.25,20
CCL17,20,20,20,20,20,31.46,20,20,21.42,20,20,32.49,20,26.35,27.87,22.94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL19,20,20,20,20,20,20,20,20,33.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.96,20,20,20,20,20
CCL2,287.6,397.14,59.42,25.04,52.19,28.94,22.09,33.1,38.56,20,23.93,39.55,24.73,37.76,20,20,37.36,20,76.88,25.49,20.02,20,20,30.48,20,20,20,20,20,30,37.28,20,20,20,38.99,45.77,20,84.12,138.95,106.74,64.1,63.41,52.84,114.12,20,23.4,32.14,20,20,20,20,20
CCL20,20,20,20,27.32,20,20,20,20,26.78,20,20,31.07,20,22.83,20,27.53,20,20,43.68,20,20,20,20,20,20,24.82,20,20,20,20,20,20,20,20,20,20,20,25.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL22,20,20,20,20,20,20,20,20,29.99,20,24.89,33.9,20,24.59,20,20,20,20,20,20,20,20,20,20,20,20,20,68.9,20,20,20,20,20,20,20,20,20,20,20.11,22.81,20,20,20,20,20,20,20,20,20,20,20,20
CCL23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.67,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL24,20,20,20,20,20,20,23.05,20,20,20,20,20,20,20,20,20,28.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.07,20,20,20,20,20,20,20,20,20,20,20,20
CCL3,38.25,33.1,39.61,23.9,31.63,42.78,20,20,1222.27,28.47,20,32.49,20,25.47,25.73,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.98,20,20,20,20,20,21.36,28.7,20,24.75,20,20,20
CCL4,20,29.55,20,20,20,20,23.05,20,38.56,31.89,20,28.25,30.62,20,22.51,20,33.49,20,34.94,20,20,20,20,20,25.74,21.58,32.85,20,20,24.23,20,20,20,22.37,20,20,20,20,20,20.07,20,20,20,20,48.61,20,20,20,20,20,20,20
CCL5,191.26,269.49,158.45,169.59,221.42,118.27,174.79,265.96,187.46,235.77,210.62,175.14,241.45,220.43,236.92,213.36,112.08,148.91,76.88,188.2,168.15,149.69,130.03,175.64,119.69,120.87,126.16,140.61,127.09,135,136.2,166.15,214.01,134.21,184.33,139.09,168.82,187.66,230.37,181.55,385.93,207.26,252.72,267.59,362.11,208.55,218.12,322.42,307.13,213.16,261.01,237.53
CCL7,20,20,20,20,37.96,31.46,20,20,20,20,20,20,20,20,20,20,20,44.36,20,20,20,20,20,20,20,20,20,20,20,20,31.54,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCL8,20,62.64,42.66,20,72.75,20,20,26.01,81.41,20,35.42,20,20,20,20,20,20,72.87,38.44,20,20,20,20,20,20,31.3,20,20,20,31.15,20,20,20,20,20,20,20,166.95,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCND3,646.76,620.53,786.13,547.48,776.55,1103.46,630.97,800.25,730.57,408.89,461.46,995.75,704.34,959.9,1105.25,1004.86,361.99,538.6,408.85,690.57,429.72,360.54,320.07,349.83,471.02,764.1,628.16,731.87,510.79,649.6,709.69,587.62,526.31,362.36,482.09,482.79,555.75,753.23,760.59,949.72,614.86,553.64,487.07,491.89,634.3,733.48,835.74,570.07,637.19,528.21,674.28,462.69
CCR1,160.1,199.75,390.02,176.42,352.69,255.42,117.17,83.93,117.83,126.42,262.32,262.71,89.51,155.45,254.07,168.62,79.87,270.89,442.05,80.98,64.72,74.04,64.01,95.8,56.63,220.16,151.13,38.67,80.65,138.46,166.31,70.86,33.62,38.03,55.53,37.69,64.24,166.95,191.06,178.81,52.33,50.16,78.11,20,80.2,144.46,223.86,71.26,51.34,61.13,65.25,20
CCR10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCR2,172.14,89.83,263.57,162.76,139.18,143.44,151.74,119.39,113.55,104.78,143.61,108.76,77.74,97.48,140.43,79.15,55.39,47.52,96.1,224.94,166.82,51.51,40.01,56.61,93.95,96.05,148.5,146.23,95.32,91.15,189.25,172.25,122.85,53.68,57.9,61.92,112.05,133.3,228.54,366.75,196.23,83.28,71.22,98.38,77.77,109.87,142.35,175.81,138.44,89.34,69.6,64.33
CCR3,708.39,598.08,152.35,104.72,140.76,93.11,102.76,76.83,140.33,104.78,83.29,159.6,151.94,101.87,67.54,91.77,82.45,98.22,90.86,116.22,250.89,144.86,126.03,108.87,95.23,78.78,105.13,106.16,87.98,83.08,55.91,90.4,132.55,58.16,212.68,128.32,56.77,73.77,97.82,125.9,277.34,174.13,89.6,106.25,65.62,39.67,29.85,77.1,133.86,152.04,84.1,56.91
CCR4,245.1,163.11,354.98,331.22,317.89,189.99,241.06,238.77,115.69,164.01,125.42,135.59,101.29,163.35,95.41,102.09,86.31,83.96,85.61,38.24,36.7,41.85,68.01,107.42,171.16,153.25,211.58,112.49,202.85,166.15,206.46,118.5,100.22,108.48,150.06,126.53,219.61,156.6,142.61,80.28,39.25,116.41,158.53,129.86,114.22,123.09,111.36,51.4,56.84,109.72,168.21,108.87
CCR5,176.39,173.75,234.62,140,128.11,103.17,122.93,161.94,110.34,130.98,124.46,128.53,159.01,175.65,131.86,61.94,61.84,66.53,50.67,172.45,114.77,61.16,84.02,84.19,81.08,57.2,85.42,68.9,119.76,99.23,110.4,161.87,144.83,92.83,98.07,104.1,150.89,139.78,197.46,180.64,104.66,149.53,98.79,165.28,136.1,140.39,142.35,203.26,194.37,112.85,147.91,103.92
CCR6,40.38,27.19,36.56,87.64,61.68,50.33,59.54,36.64,32.14,38.72,29.68,33.9,43.58,43.03,27.87,32.12,39.94,20,20,20,24.02,32.19,20,36.29,47.62,46.41,40.74,42.18,56.21,36.92,41.58,20,39.44,26.84,41.36,43.07,67.23,32.36,26.51,32.84,20,42.59,50.54,86.57,20,21.36,28.7,20,20,42.32,29,20
CCR7,50.3,41.37,57.89,219.67,235.65,205.09,217.05,195.04,117.83,86.56,51.7,62.15,80.09,77.28,52.53,73.41,82.45,57.03,85.61,41.99,38.7,51.51,54.01,81.29,127.41,86.34,105.13,52.73,85.54,56.54,74.55,48.26,56.9,63.75,62.62,61.02,71.71,53.06,47.54,63.86,48.4,60.57,20,20,82.63,85.45,79.21,27.45,59.59,59.56,104.4,76.7
CCR8,39.67,37.82,51.8,43.25,47.45,28.94,24.01,31.92,25.71,20,43.08,20,47.11,66.75,21.44,20,29.63,33.27,20,77.23,40.7,20,20,20,45.04,49.64,44.68,44.29,65.99,46.15,60.22,76.35,32.33,100.66,51.99,57.43,37.35,44,20.11,52.91,35.32,21.77,20,20,20,28.48,35.59,43.81,22.92,43.89,20,20
CCRL1,20,20,20,20,20,20,20,20,25.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CCRL2,442.03,258.85,1110.64,140,298.92,993.99,215.13,101.66,413.49,282.46,583.04,1645.46,182.56,619.15,1223.17,775.44,247.34,567.12,1677.35,163.46,86.74,125.55,144.03,209.03,104.24,700.42,863.39,190.52,166.19,411.92,686.75,177.14,85.35,96.18,89.8,87.05,137.44,280.84,590.55,374.05,83.73,93.69,156.23,20,131.23,350.97,935.61,284.45,123.77,183.38,156.61,94.02
CD14,343.57,174.93,124.93,201.46,134.43,128.34,150.78,78.02,279.59,167.43,50.74,52.26,186.1,93.97,77.19,55.06,128.82,90.3,190.45,134.96,106.1,109.45,108.02,103.06,122.26,139.22,107.76,144.12,173.52,102.69,116.13,131.94,121.56,63.75,127.61,75.38,207.66,154.01,239.51,245.41,138.67,150.48,259.62,110.18,148.25,96.64,83.8,96.37,83.43,89.34,102.95,81.65
CD160,20,20,20,25.04,20,20,20,29.55,93.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.54,20,20,20,20,24.63,20,20,20,20,68.05,20,20,20,20,20,20,20
CD163,120.43,83.92,60.94,112.68,117.04,28.94,84.51,53.19,68.56,60.37,36.38,20,58.89,61.48,36.45,20,33.49,57.03,34.94,22.49,20,37.02,20,34.84,42.47,60.44,26.28,41.48,20,79.61,43.01,20,24.57,20,34.27,32.31,71.71,113.89,72.22,20.98,20,20.82,20,78.7,68.05,59,39.03,20,20,20,29,20
CD164,794.1,725.73,1517.42,689.75,1190.92,956.25,606,786.07,734.86,486.34,1351.82,1196.31,447.57,1243.57,1158.85,792.65,258.93,587.71,711.13,319.41,424.38,233.39,210.05,346.93,256.1,854.75,458.63,294.58,295.72,719.99,602.16,427.58,381.48,310.91,275.31,317.67,482.55,1018.55,1016.55,797.37,447.41,425.87,317.05,322.68,425.3,832.16,1198.5,776.25,540.01,492.16,542.32,284.54
CD19,174.97,121.74,102.08,344.88,240.4,159.79,145.02,88.65,102.84,84.28,65.1,40.96,95.4,63.23,42.88,33.27,130.11,93.46,50.67,80.23,307.61,117.5,116.03,187.26,148,97.13,68.34,185.6,175.97,118.84,137.64,99.57,211.43,195.72,187.87,188.45,113.54,76.36,53.94,86.67,214.55,176.03,128.66,82.64,106.93,140.39,110.21,56.07,111.85,101.88,145.01,91.55
CD1A,59.5,56.73,36.56,50.08,36.38,20,51.86,53.19,26.78,43.28,48.83,48.02,73.02,42.15,31.09,32.12,55.39,80.79,34.94,24.74,44.04,78.87,46.01,75.48,68.21,39.93,47.31,25.31,20,43.85,34.41,20,35.56,42.5,50.81,39.48,58.26,66.01,25.6,28.28,20,43.53,66.63,20,60.76,48.83,52.81,20,49.51,101.88,94.25,84.13
CD1B,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CD1C,325.86,179.66,127.98,260.65,175.55,59.14,139.26,115.84,55.7,164.01,111.06,46.61,196.7,111.53,40.74,33.27,103.06,112.47,69.89,88.48,206.85,156.13,118.03,142.26,155.72,127.35,70.96,88.58,202.85,154.61,104.66,81.24,146.12,145.39,180.78,145.37,149.4,130.72,73.13,71.16,175.3,165.62,158.53,94.44,104.5,134.28,75.77,47.9,93.52,147.33,149.36,113.82
CD1D,136.01,133.56,155.4,72.85,99.64,72.98,100.84,114.66,48.21,79.73,91.91,57.91,65.96,84.31,58.96,68.83,57.97,87.13,43.68,31.49,52.05,61.16,76.02,100.16,51.48,100.37,70.96,60.46,73.32,109.61,61.65,61.69,62.07,59.27,72.08,74.48,85.16,97.07,68.56,52,51.02,77.6,103.39,82.64,80.2,93.59,80.36,44.97,72.43,128.53,123.25,118.77
CD1E,20,20,20,20,20,28.94,22.09,20,28.92,20,20,20,20,20,20,20,20,20,41.93,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CD2,145.93,200.94,167.59,144.55,153.41,119.53,141.18,158.4,108.19,124.15,186.69,107.34,133.09,136.13,127.57,75.71,57.97,60.2,45.43,86.23,68.73,83.7,44.01,52.26,86.23,85.26,97.25,54.13,105.09,80.77,116.13,113,124.79,135.33,101.62,133.71,158.36,172.13,209.34,156.01,133.44,125.87,112.58,137.73,213.86,197.36,204.34,207.93,180.61,152.04,136.31,145.98
CD207,20,20,20,20,20,20,23.05,20,20,20,20,20,20,23.71,21.44,20,25.76,20,41.93,20,20,20,20,20,20,20,20,20,20,25.38,28.67,20,20,20,20,20,40.34,20,20,23.72,30.09,20,52.84,20,20,26.45,20,25.7,20,20,20,20
CD209,20,20,20,20,20,26.42,20,20,44.99,20,20,20,20,20,26.8,25.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CD22,25.5,20,30.47,97.89,50.61,20,53.78,46.1,27.85,26.2,20.1,20,31.8,20,20,20,27.05,36.43,20,20,34.03,49.9,20,46.45,34.75,31.3,20,47.1,58.66,35.77,20,31.76,35.56,61.51,51.99,49.36,44.82,34.94,36.57,51.09,31.4,47.32,20,20,20,38.66,25.26,24.53,20,32.92,46.4,20
CD24,184.89,225.76,153.87,58.05,151.83,265.48,80.67,42.55,589.17,74.03,89.99,245.76,87.16,144.91,161.87,618.29,110.79,114.06,162.49,25.49,258.23,107.84,54.01,56.61,70.78,115.48,81.48,203.18,70.88,62.31,93.19,36.04,155.18,59.27,69.71,63.71,40.34,59.53,61.25,32.84,109.89,72.87,57.44,20,136.1,95.63,234.19,177.56,178.78,235.11,105.85,71.75
CD244,137.43,106.38,216.34,143.41,134.43,171.12,109.48,121.75,196.03,130.98,155.1,225.99,148.41,272.25,274.44,214.51,28.34,20,52.42,32.99,72.73,20,20,63.87,45.04,60.44,61.76,33.75,85.54,85.38,163.44,91.01,96.34,74.93,66.17,70.89,185.25,182.48,255.05,171.52,66.72,141.96,85.01,153.47,153.11,151.58,292.74,154.2,170.53,159.87,139.21,94.02
CD247,243.68,252.94,205.67,305.04,311.57,177.41,259.3,264.78,193.89,206.15,286.26,135.59,233.21,223.95,168.31,108.97,132.69,71.29,101.34,138.71,166.82,130.37,98.02,121.93,175.03,103.61,143.24,80.15,122.2,123.46,123.3,168.59,170.69,163.28,150.06,131.91,210.65,227.78,215.74,184.29,257.72,195.9,165.42,157.41,303.78,232.96,254.85,279.19,220.95,221,221.86,148.46
CD27,110.51,75.65,100.55,228.78,166.06,75.49,150.78,138.3,101.77,121.87,143.61,87.57,100.11,101.87,80.4,50.47,86.31,39.6,52.42,89.23,96.09,91.74,76.02,101.61,123.55,50.72,72.28,53.43,119.76,64.61,78.85,100.79,113.8,120.79,75.62,87.05,128.48,102.24,123.41,125.9,102.04,139.12,121.77,133.8,177.41,139.37,117.1,173.47,183.36,122.26,159.51,153.41
CD274,729.64,910.12,3770.69,694.31,2147.77,3730.62,446.58,549.66,1743.95,210.71,2417.38,4406.73,261.48,1601.89,2804.39,1733.27,208.69,1310.07,3992.44,356.16,230.87,262.36,244.05,579.18,138.99,1346.89,2035.6,362.07,166.19,823.83,1720.46,423.92,289.02,256.11,212.68,244.98,224.09,722.17,1931.64,645.92,193.62,247.01,243.53,157.41,177.41,654.13,2560.02,589.93,306.22,514.1,687.33,272.17
CD276,20,20,20,20,20,20,20,20,29.99,20,29.68,28.25,20,22.83,25.73,20,34.78,49.11,20,20,28.03,20,20,104.51,20,20,20,20,20,20,20,20,20,24.6,20,20,31.37,20,20,20,20,33.12,20,20,20,20,20,20,23.84,45.45,97.15,20
CD28,227.39,173.75,219.39,338.05,311.57,259.19,267.95,277.78,287.09,117.31,110.1,101.69,115.43,165.11,102.91,113.56,103.06,72.87,125.8,131.96,80.07,75.65,98.02,121.93,131.27,134.9,162.95,94.91,131.98,114.23,117.56,127.66,105.39,123.02,131.16,142.68,159.85,124.24,127.07,126.81,78.49,109.78,128.66,118.05,148.25,133.27,126.28,97.54,92.6,120.69,146.46,116.29
CD34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CD36,82.17,53.19,20,100.16,94.89,36.49,65.31,53.19,33.21,55.81,51.7,20,90.69,123.83,24.66,20,60.55,167.92,43.68,37.49,86.08,77.26,60.01,82.74,70.78,147.86,39.42,47.1,73.32,63.46,32.98,20,40.73,45.85,49.63,22.43,97.11,107.42,32.91,23.72,71.95,51.1,57.44,90.51,131.23,110.89,39.03,47.31,107.27,79.94,68.15,20
CD38,375.44,514.16,770.9,422.28,502.94,436.6,336.13,457.45,813.06,111.62,281.47,190.68,107.18,300.35,206.9,166.33,135.26,152.08,159,290.17,220.86,119.11,86.02,161.13,157.01,298.95,236.54,199.66,107.54,204.23,289.61,240.67,139.66,133.09,111.07,100.51,109.06,296.38,205.69,342.12,197.54,131.55,119.47,133.8,160.4,199.39,316.85,215.53,153.11,128.53,133.41,136.09
CD3D,614.88,589.8,909.54,1019.84,969.5,806.52,784.63,1002.38,791.63,584.29,746.75,718.92,481.73,751.76,757.91,505.87,340.09,369.1,373.91,561.6,410.37,339.62,356.08,402.09,666.64,530.98,709.63,400.74,598.78,711.91,789.98,841.73,709.93,786.23,642.78,605.73,965.09,1138.91,1550.43,1701.47,748.3,768.47,783.44,1137.26,1360.95,1162.78,1662.29,1357.42,1260.63,1133.22,1080.29,1068.89
CD3E,1707.21,1715.04,1470.19,1805.2,1820.38,1343.78,1705.64,1721.07,987.67,1064.93,1020.56,545.19,1219.04,1391.11,906.93,660.73,693.07,434.05,599.3,850.27,771.36,558.51,532.12,715.63,1075.89,938.93,1061.82,679.84,896.94,824.99,939.08,1044.52,1012.53,1121.74,922.82,900.96,1449.14,1562.12,1968.2,1555.5,1446.89,1300.33,981.03,1204.16,1684.18,1402.87,1804.64,1137.22,1689.7,1326.01,1790.82,1410.34
CD3EAP,20,20,20,20,20,20,20,27.19,20,20,20,29.66,20,20,20,20,29.63,20,20,20,20,38.63,20,45,20,20,20,20,20,20,20,20,20,22.37,20,20,32.87,20,20,20,20,20.82,20,20,20,21.36,20,20,20,43.89,49.3,54.43
CD3G,405.91,367.59,473.81,506.5,525.08,334.69,438.9,505.92,259.24,317.77,396.35,269.77,285.03,392.57,311.96,193.86,172.62,140.99,193.94,290.17,209.52,160.96,154.03,217.74,275.41,261.17,278.6,228.49,266.39,320.76,319.72,348.17,277.38,384.73,263.49,273.7,494.5,579.81,785.27,790.07,425.17,453.32,356.11,645.37,575.97,508.65,649.76,693.9,596.85,431.03,514.77,433
CD4,20,20,20,38.7,33.21,20,29.77,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CD40,38.96,34.28,42.66,106.99,80.66,72.98,63.39,47.28,69.63,25.06,29.68,40.96,27.09,31.62,25.73,25.24,37.36,20,20,20,55.38,20,20,33.39,70.78,38.85,35.48,45.7,20,53.08,50.18,29.32,36.21,65.98,41.36,44.87,40.34,20,32,45.62,60.18,30.28,20,20,48.61,29.5,39.03,20,23.84,20,33.35,20
CD40LG,165.05,152.47,173.68,191.22,180.3,138.4,197.84,205.68,67.49,111.62,94.78,36.72,134.27,173.01,92.19,44.74,73.43,72.87,78.63,47.24,41.37,32.19,52.01,85.64,87.51,105.77,115.64,54.84,100.2,109.61,100.36,83.68,67.24,104.01,85.07,88.84,122.5,146.25,164.55,108.57,82.42,82.34,101.09,94.44,102.07,130.22,121.69,66,98.1,84.64,124.71,111.34
CD44,1407.56,1256.44,909.54,862.76,825.58,821.62,743.34,731.69,1307.96,845.11,854.94,940.67,862.16,1040.7,939.09,1297.37,650.56,611.47,994.18,521.86,719.31,690.5,630.14,985.63,545.67,562.28,724.09,617.98,581.67,579.22,649.47,656.03,726.1,649.78,734.94,551.88,911.31,832.18,1026.61,801.93,869.97,835.66,877.64,633.56,991.55,1131.25,1182.43,850.43,1114.85,1528.2,1705.27,967.45
CD46,539.08,457.42,435.72,608.94,675.33,656.79,589.68,641.86,393.14,354.22,388.7,353.1,461.71,548.01,620.7,609.11,319.48,340.59,372.16,338.91,322.96,296.16,276.06,397.74,324.31,362.62,385.04,330.43,383.71,468.45,455.92,359.78,380.83,308.68,365.11,358.05,519.9,583.69,588.72,447.04,515.44,497.8,498.56,487.96,469.04,405.91,408.69,394.84,451.99,474.92,523.47,410.73
CD47,1515.24,1401.82,1470.19,1327.15,1426.57,1372.72,1160.14,1120.59,942.68,1053.54,1302.03,1451.96,769.12,1066.17,911.21,792.65,900.47,1119.98,1471.17,691.32,1004.23,835.36,906.2,1336.91,665.35,799.71,729.35,678.44,857.84,1008.45,917.58,877.77,893.56,720.24,925.18,886.6,1434.2,1373.16,1650.99,1342.02,1448.2,1164.05,1111.98,1212.03,814.14,1027.48,1245.57,904.17,1016.75,1186.51,1429.76,927.86
CD48,1525.86,1028.32,1791.65,1744.87,1779.26,1806.8,1531.81,1237.61,2013.9,1145.8,1605.52,2644.04,1067.1,1565,1891.04,1748.18,655.71,942.56,1427.49,917.01,1024.25,600.36,518.11,676.44,1048.86,1290.77,1503.37,1044.02,967.82,1228.83,1633,1614.43,1230.42,857.8,935.81,749.31,1118.97,1440.46,2106.24,2431.33,1245.43,1053.33,1043.06,975.92,1684.18,1631.76,2354.53,2112.06,1438.49,1452.97,1309.4,841.26
CD5,62.34,73.28,103.6,106.99,123.36,67.94,119.09,104.02,57.85,88.84,80.42,46.61,96.58,88.7,62.18,50.47,56.68,45.94,64.65,59.98,30.69,43.46,40.01,37.74,75.93,65.83,59.14,46.4,63.54,57.69,68.82,58.64,53.67,62.63,63.81,68.2,89.64,95.77,106.04,99.44,64.1,70.98,20,78.7,102.07,97.66,98.73,75.35,72.43,78.37,92.8,71.75
CD53,1387.02,1209.16,2035.41,1246.34,1534.12,2354.13,981.51,971.65,2033.18,872.45,1376.71,3303.63,937.54,1384.96,2640.37,2915.93,467.63,750.88,2014.56,708.56,637.24,453.89,384.08,391.93,584.27,974.55,1576.96,786,608.55,741.91,1353.43,842.95,616.83,437.29,499.81,468.43,585.63,797.24,1552.26,1583.78,854.27,611.37,503.15,413.19,921.07,922.7,2050.32,1131.38,765.54,778.99,623.53,472.59
CD55,4238.98,3482.09,7734.88,1385.2,1795.08,2814.64,6588.23,7404.39,7667.82,3828.05,4116.72,6930.71,2791.43,4031.06,5755.65,7231.32,9307.47,10946.32,6786.27,3344.86,5336.12,5387.17,7969.75,13766.87,2201.97,3215.04,2655.87,2726.41,4897.75,5478.37,3888.24,2812.27,4326.85,2559.99,4673.16,5353.72,2730.95,2200.17,1792.68,1186.93,592.62,2593.1,2844.29,2109.25,2486.17,4818.98,4223.47,2131.92,5616.43,6573.62,9901,5995.19
CD58,395.99,268.31,489.05,489.43,461.82,426.54,357.26,364.07,316.01,387.25,427.95,529.65,320.37,410.13,502.78,558.64,334.94,365.93,396.62,366.65,354.99,230.17,300.07,373.06,312.73,359.39,325.91,289.65,422.81,466.15,414.34,376.27,305.83,300.85,310.76,291.65,542.31,582.4,670.08,746.28,324.44,352.06,399.76,409.26,381.55,453.72,539.56,526.85,393.32,457.68,398.77,378.57
CD59,884.07,858.11,976.57,816.1,841.39,1410.46,808.64,910.18,1015.52,633.26,699.84,1094.62,538.26,591.92,822.24,947.5,489.53,541.77,1097.26,484.37,685.28,579.44,500.11,785.31,561.11,554.73,697.81,557.51,359.27,437.3,576.35,486.22,612.3,393.67,436,419.97,776.86,635.46,820.01,672.38,1182.63,839.44,905.21,586.34,556.53,580.88,818.52,543.2,794.88,807.2,809.13,566.61
CD6,428.57,420.78,432.68,388.13,371.67,298.2,349.58,431.45,241.03,304.1,322.64,163.84,441.68,518.15,323.75,200.74,173.91,185.34,169.48,195.7,178.83,151.3,146.03,169.84,272.83,213.69,268.08,142.01,259.06,226.15,250.9,304.19,224.36,272.89,263.49,263.83,406.36,450.39,605.18,509.99,357.14,347.32,255.02,303.01,335.38,405.91,389.17,305.48,424.49,263.32,356.71,311.76
CD68,483.12,469.24,514.95,275.45,362.18,234.03,458.1,566.2,185.32,136.68,314.02,168.08,193.16,311.77,160.8,126.18,96.62,256.63,174.72,221.19,90.75,88.53,116.03,117.58,137.7,364.78,205.01,169.43,122.2,298.84,292.48,313.97,128.67,74.93,142.97,104.99,147.9,372.73,407.72,395.95,231.56,134.39,128.66,184.95,209,216.69,223.86,234.8,139.36,159.87,158.06,136.09
CD69,70.13,87.47,106.65,44.39,56.94,67.94,44.18,73.29,457.41,61.5,116.8,91.81,37.69,99.24,78.26,71.12,20,39.6,54.16,43.49,42.7,57.94,20,37.74,43.76,49.64,47.31,37.96,68.43,63.46,77.42,48.87,43.97,53.68,38.99,35.89,80.67,113.89,149.92,138.67,52.33,47.32,78.11,121.99,106.93,99.7,189.42,93.45,85.26,106.58,68.15,66.81
CD7,448.41,313.22,248.33,797.88,714.87,468.06,628.09,587.48,612.74,246.02,218.28,283.89,341.57,375.88,391.29,222.54,328.5,136.23,340.71,567.6,557.17,347.66,264.06,355.64,384.8,241.75,337.73,359.26,366.6,245.77,379.93,492.94,417.68,341.11,334.39,316.77,216.62,200.6,336.41,235.38,435.64,344.48,291.78,271.53,330.52,210.58,297.33,167.63,265.88,214.73,298.71,227.63
